,TIME,NZ,NY
0,HH:MM:SS.FFF,G's,G's
474, 00:04:41.688,,
475, 00:04:41.750,1.01367,-0.00684
476, 00:04:41.813,,
477, 00:04:41.875,1.00977,-0.00781
478, 00:04:41.938,,
479, 00:04:42.000,1.00781,-0.00488
480, 00:04:42.063,,
481, 00:04:42.125,1.00977,-0.00781
482, 00:04:42.188,,
483, 00:04:42.250,1.01172,-0.00488
484, 00:04:42.313,,
485, 00:04:42.375,1.00977,-0.01172
486, 00:04:42.438,,
487, 00:04:42.500,1.01172,-0.00391
488, 00:04:42.563,,
489, 00:04:42.625,1.00586,-0.00684
490, 00:04:42.688,,
491, 00:04:42.750,1.00781,-0.00781
492, 00:04:42.813,,
493, 00:04:42.875,1.00977,-0.00684
494, 00:04:42.938,,
495, 00:04:43.000,1.00781,-0.01172
496, 00:04:43.063,,
497, 00:04:43.125,1.00781,-0.00781
498, 00:04:43.188,,
499, 00:04:43.250,1.00781,-0.00684
500, 00:04:43.313,,
501, 00:04:43.375,1.00781,-0.00488
502, 00:04:43.438,,
503, 00:04:43.500,1.00977,-0.00781
504, 00:04:43.563,,
505, 00:04:43.625,1.00977,-0.00488
506, 00:04:43.688,,
507, 00:04:43.750,1.00977,-0.00391
508, 00:04:43.813,,
509, 00:04:43.875,1.00586,-0.00977
510, 00:04:43.938,,
511, 00:04:44.000,1.01367,-0.00781
512, 00:04:44.063,,
513, 00:04:44.125,1.00977,-0.00684
514, 00:04:44.188,,
515, 00:04:44.250,1.01367,-0.00684
516, 00:04:44.313,,
517, 00:04:44.375,1.00977,-0.00781
518, 00:04:44.438,,
519, 00:04:44.500,1.00781,-0.00391
520, 00:04:44.563,,
521, 00:04:44.625,1.00977,-0.00781
522, 00:04:44.688,,
523, 00:04:44.750,1.01367,-0.00391
524, 00:04:44.813,,
525, 00:04:44.875,1.00977,-0.00684
526, 00:04:44.938,,
527, 00:04:45.000,1.01172,-0.00488
528, 00:04:45.063,,
529, 00:04:45.125,1.01172,-0.00488
530, 00:04:45.188,,
531, 00:04:45.250,1.00977,-0.01172
532, 00:04:45.313,,
533, 00:04:45.375,1.01172,-0.00391
534, 00:04:45.438,,
535, 00:04:45.500,1.00781,-0.00684
536, 00:04:45.563,,
537, 00:04:45.625,1.01367,-0.00781
538, 00:04:45.688,,
539, 00:04:45.750,1.01367,-0.00488
540, 00:04:45.813,,
541, 00:04:45.875,1.01172,-0.00195
542, 00:04:45.938,,
543, 00:04:46.000,1.01172,-0.00488
544, 00:04:46.063,,
545, 00:04:46.125,1.01367,-0.01172
546, 00:04:46.188,,
547, 00:04:46.250,1.00781,-0.00684
548, 00:04:46.313,,
549, 00:04:46.375,1.01563,-0.00977
550, 00:04:46.438,,
551, 00:04:46.500,1.00586,-0.00391
552, 00:04:46.563,,
553, 00:04:46.625,1.01172,-0.00684
554, 00:04:46.688,,
555, 00:04:46.750,1.01172,-0.00684
556, 00:04:46.813,,
557, 00:04:46.875,1.00977,-0.00684
558, 00:04:46.938,,
559, 00:04:47.000,1.01367,-0.00977
560, 00:04:47.063,,
561, 00:04:47.125,1.01172,-0.00488
562, 00:04:47.188,,
563, 00:04:47.250,1.01367,-0.00977
564, 00:04:47.313,,
565, 00:04:47.375,1.00977,-0.00781
566, 00:04:47.438,,
567, 00:04:47.500,1.01172,-0.00977
568, 00:04:47.563,,
569, 00:04:47.625,1.00781,-0.00488
570, 00:04:47.688,,
571, 00:04:47.750,1.00977,-0.00195
572, 00:04:47.813,,
573, 00:04:47.875,1.01172,-0.00684
574, 00:04:47.938,,
575, 00:04:48.000,1.01172,-0.00977
576, 00:04:48.063,,
577, 00:04:48.125,1.00781,-0.00977
578, 00:04:48.188,,
579, 00:04:48.250,1.00781,-0.00488
580, 00:04:48.313,,
581, 00:04:48.375,1.01172,-0.00781
582, 00:04:48.438,,
583, 00:04:48.500,1.01172,-0.00977
584, 00:04:48.563,,
585, 00:04:48.625,1.00977,-0.00684
586, 00:04:48.688,,
587, 00:04:48.750,1.00977,-0.01172
588, 00:04:48.813,,
589, 00:04:48.875,1.00977,-0.00684
590, 00:04:48.938,,
591, 00:04:49.000,1.00781,-0.00488
592, 00:04:49.063,,
593, 00:04:49.125,1.00781,-0.00684
594, 00:04:49.188,,
595, 00:04:49.250,1.01367,-0.00781
596, 00:04:49.313,,
597, 00:04:49.375,1.00977,-0.01172
598, 00:04:49.438,,
599, 00:04:49.500,1.01172,-0.00781
600, 00:04:49.563,,
601, 00:04:49.625,1.00586,-0.00977
602, 00:04:49.688,,
603, 00:04:49.750,1.00977,-0.00488
604, 00:04:49.813,,
605, 00:04:49.875,1.00586,-0.00684
606, 00:04:49.938,,
607, 00:04:50.000,1.00977,-0.01172
608, 00:04:50.063,,
609, 00:04:50.125,1.00977,-0.00977
610, 00:04:50.188,,
611, 00:04:50.250,1.00781,-0.00391
612, 00:04:50.313,,
613, 00:04:50.375,1.00977,-0.00684
614, 00:04:50.438,,
615, 00:04:50.500,1.00977,-0.00977
616, 00:04:50.563,,
617, 00:04:50.625,1.00977,-0.00684
618, 00:04:50.688,,
619, 00:04:50.750,1.01172,-0.00781
620, 00:04:50.813,,
621, 00:04:50.875,1.00781,-0.00684
